FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
0	0	78	601	481	ScreenRec
1	78	239	418	478	ScreenRec
2	318	817	536	450	ScreenRec
3	1135	140	538	346	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
4	1274	498	669	189	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
5	1773	160	487	164	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
6	2092	100	473	182	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
7	2192	219	264	142	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
8	2411	179	643	200	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
9	2590	159	686	205	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
10	2750	559	502	768	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
11	3308	179	406	607	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
12	3487	219	374	285	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
13	3707	439	486	183	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
14	4145	199	265	132	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
15	4345	159	717	288	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
16	4504	279	868	520	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
17	4783	299	669	595	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
18	5082	179	625	582	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
19	5262	199	371	579	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
20	5461	478	481	177	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
21	5940	179	198	278	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
22	6119	259	207	160	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
23	6378	239	786	192	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
24	6618	319	892	219	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
25	6936	259	938	251	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
26	7196	239	843	611	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
27	7435	339	840	512	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
28	7774	241	535	706	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
29	8015	217	488	246	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
30	8233	259	537	189	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
31	8492	399	597	160	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
32	8890	239	374	600	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
33	9130	179	300	598	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
34	9309	439	513	795	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
35	9748	419	845	885	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
36	10166	259	815	849	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
37	10426	478	842	577	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
38	10904	339	893	251	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
39	11243	120	881	176	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
40	11363	359	827	318	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
41	11721	319	935	311	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
42	12040	279	976	323	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
43	12320	179	793	691	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
44	12499	199	824	805	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
45	12698	120	799	778	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
46	12818	299	814	617	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
47	13117	180	839	559	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
48	13297	279	625	547	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
49	13576	339	435	755	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
50	13915	478	182	705	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
51	14393	259	480	680	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
52	14652	259	855	883	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
53	14912	179	914	839	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
54	15091	160	820	830	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
55	15251	219	504	802	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
56	15470	199	225	695	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
57	15669	259	214	512	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
58	15928	140	251	509	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
59	16068	399	535	451	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
60	16466	199	330	449	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
61	16666	419	293	479	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
62	17084	120	217	601	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
63	17204	638	174	583	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
64	17842	339	293	576	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
65	18181	259	252	570	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
66	18440	199	311	490	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
67	18640	319	276	887	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.bbc.co.uk/
