FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
0	0	33	729	386	No media
1	33	239	722	461	ScreenRec
2	272	1216	556	459	ScreenRec
3	1488	1954	682	427	ScreenRec
4	3442	698	629	383	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
5	4140	678	672	380	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
6	4818	498	706	391	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
7	5316	319	748	527	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
8	5635	778	741	396	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
9	6412	219	652	492	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
10	6632	2293	664	422	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
11	8925	419	690	384	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
12	9343	212	649	325	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
13	9556	186	669	265	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
14	9742	219	548	131	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
15	9961	319	341	95	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
16	10280	259	276	32	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
17	10539	299	378	21	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
18	10838	199	820	26	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
19	11038	299	921	50	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
20	11337	219	805	296	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
21	11556	600	732	402	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
22	12157	277	364	665	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
23	12433	239	418	692	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
24	12673	280	733	385	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
25	12952	378	778	389	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
26	13470	977	756	409	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
27	14447	199	751	445	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
28	14646	598	716	439	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
29	15245	678	769	420	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
30	15922	239	836	583	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
31	16162	279	742	407	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
32	16441	239	1114	394	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
33	16680	284	1178	294	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
34	16964	314	1171	228	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
35	17398	339	545	736	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
36	17737	220	319	692	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
37	17957	438	515	630	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
38	18395	359	509	703	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
39	18754	239	783	694	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
40	18993	459	929	684	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
41	19451	399	898	742	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
42	19850	319	693	893	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
43	20169	478	516	616	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
44	20648	339	337	609	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
45	20987	259	310	514	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
46	21246	778	326	707	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
47	22023	140	378	699	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
48	22163	339	518	683	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
49	22502	259	763	694	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
50	22761	239	708	707	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
51	23000	199	972	710	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
52	23199	439	908	703	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
53	23638	279	716	699	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
54	24037	140	506	680	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
55	24176	219	345	515	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
56	24396	199	295	522	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.babylon.com/
