FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	StimuliName
66	16637	259	450	434	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
67	16896	478	434	401	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
68	17374	140	448	443	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
69	17515	358	240	936	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
70	17873	219	299	934	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
71	18092	179	253	919	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
72	18272	239	227	945	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
73	18511	279	728	946	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
74	18790	219	701	921	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
75	19009	459	931	944	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
76	19468	319	887	637	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
77	19787	239	759	399	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
78	20026	140	870	413	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
79	20166	439	712	438	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
80	20604	279	847	433	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
81	20883	399	903	509	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
82	21282	239	742	455	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
83	21522	259	816	477	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
84	21781	259	740	733	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
85	22040	199	652	765	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
86	22239	239	856	797	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
87	22478	179	715	783	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
88	22658	678	652	811	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
89	23336	319	246	524	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
90	23655	299	801	418	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
91	23954	160	885	524	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
92	24113	239	918	654	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
93	24352	199	896	838	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
94	24552	319	877	805	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
95	24871	299	781	415	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
96	25170	299	850	456	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
97	25469	179	736	426	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
98	25648	339	869	650	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
99	25988	239	796	784	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
100	26227	239	811	466	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
101	26466	199	923	473	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
102	26665	439	684	440	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
103	27104	259	786	429	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
104	27363	379	904	442	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
105	27742	239	666	452	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
106	27981	259	735	451	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
107	28240	239	844	465	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
108	28480	199	939	476	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
109	28679	279	679	475	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
110	28958	140	769	480	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
111	29098	159	723	378	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
112	29257	199	867	393	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
113	29456	239	504	213	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
114	29696	199	544	176	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
115	29895	219	270	30	http://emine.ncc.metu.edu.tr/survey/web/pages/http/www.godaddy.com/
116	30114	241	222	63	ScreenRec
117	30355	310	814	336	ScreenRec
118	30665	347	847	774	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
119	31012	120	603	161	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
120	31251	199	789	363	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
121	31450	259	299	311	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
122	31709	239	412	449	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
123	31949	239	834	233	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
124	32408	99	451	353	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
125	32507	259	454	306	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
126	32766	418	854	371	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
127	33185	199	902	257	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
128	33384	259	874	233	http://emine.ncc.metu.edu.tr/survey/web/pages2/http/www.apple.com/
